,host_listings_count,host_total_listings_count,bathrooms,bedrooms,beds
0,842.0,921.0,1.0,2.0,3.0
1,2.0,6.0,1.0,1.0,1.0
2,46.0,46.0,1.5,1.0,1.0
3,46.0,46.0,1.5,1.0,1.0
4,1.0,1.0,1.0,2.0,2.0
5,1.0,4.0,1.0,1.0,1.0
6,1.0,2.0,1.0,2.0,4.0
7,46.0,46.0,1.5,1.0,1.0
8,46.0,46.0,1.5,1.0,1.0
9,46.0,46.0,1.5,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
11,2.0,2.0,3.0,3.0,3.0
12,1.0,6.0,1.0,1.0,1.0
13,1.0,3.0,1.0,1.0,3.0
14,2.0,2.0,1.0,2.0,3.0
15,1.0,1.0,1.0,2.0,2.0
16,1.0,1.0,1.0,1.0,1.0
17,2.0,2.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0
19,1.0,3.0,2.5,2.0,3.0
20,7.0,17.0,1.0,2.0,2.0
21,7.0,17.0,1.0,2.0,0.0
22,1.0,2.0,1.0,1.0,2.0
23,2.0,2.0,1.0,2.0,2.0
24,1.0,1.0,1.0,1.0,1.0
25,3.0,9.0,1.0,2.0,3.0
26,1.0,1.0,2.0,2.0,3.0
27,1.0,1.0,1.0,1.0,2.0
28,2.0,2.0,1.5,1.0,1.0
29,3.0,3.0,2.0,2.0,2.0
30,1.0,1.0,1.0,2.0,2.0
31,1.0,7.0,1.0,2.0,2.0
32,76.0,101.0,2.0,3.0,5.0
33,3.0,3.0,1.0,1.0,0.0
34,1.0,3.0,1.0,2.0,2.0
35,1.0,1.0,1.5,1.0,2.3
36,1.0,1.0,1.0,1.0,1.0
37,3.0,4.0,1.0,1.0,1.0
38,3.0,3.0,1.0,1.0,1.0
39,1.0,1.0,1.0,0.0,1.0
40,2.0,3.0,1.0,3.0,3.0
41,2.0,3.0,1.0,1.0,1.0
42,1.0,1.0,2.0,3.0,4.0
43,2.0,3.0,1.5,1.0,1.0
44,5.0,7.0,1.0,1.0,2.0
45,1.0,1.0,2.0,2.0,2.0
46,1.0,4.0,1.0,1.0,1.0
47,2.0,4.0,2.0,1.0,1.0
48,1.0,1.0,2.5,3.0,3.0
49,2.0,2.0,1.0,2.0,2.0
50,2.0,3.0,2.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0
52,2.0,2.0,2.0,3.0,3.0
53,1.0,2.0,1.0,2.0,3.0
54,2.0,4.0,2.0,1.0,1.0
55,1.0,4.0,1.0,1.0,1.0
56,1.0,1.0,1.5,3.0,3.0
57,51.0,161.0,2.0,2.0,3.0
58,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.5,1.0,1.0
60,1.0,2.0,1.0,1.0,1.0
61,1.0,2.0,1.0,1.0,2.0
62,3.0,3.0,1.0,1.0,1.0
63,3.0,3.0,1.0,0.0,1.0
64,1.0,1.0,1.5,4.0,2.3
65,1.0,2.0,2.5,2.0,3.0
66,1.0,2.0,2.0,2.0,2.0
67,2.0,3.0,1.0,2.0,2.0
68,1.0,3.0,1.0,2.0,2.0
69,2.0,2.0,1.5,2.0,2.0
70,15.0,29.0,1.0,2.0,2.0
71,1.0,4.0,1.0,1.0,2.0
72,1.0,1.0,1.0,1.0,1.0
73,2.0,2.0,1.5,2.0,2.0
74,1.0,1.0,2.0,3.0,3.0
75,1.0,1.0,1.5,2.0,2.3
76,1.0,2.0,2.5,4.0,6.0
77,1.0,3.0,1.0,1.0,1.0
78,2.0,2.0,1.0,3.0,5.0
79,51.0,161.0,2.0,2.0,2.0
80,1.0,2.0,1.5,1.0,2.3
81,2.0,2.0,1.0,1.0,2.0
82,1.0,4.0,1.0,1.0,1.0
83,1.0,2.0,1.0,2.0,2.0
84,2.0,3.0,1.0,1.0,1.0
85,1.0,1.0,1.0,2.0,3.0
86,1.0,1.0,1.0,1.0,1.0
87,1.0,4.0,1.0,1.0,0.0
88,1.0,2.0,1.0,2.0,2.0
89,1.0,1.0,1.0,2.0,2.0
90,1.0,1.0,1.0,1.0,1.0
91,2.0,4.0,1.0,1.0,1.0
92,2.0,2.0,1.5,2.0,2.3
93,1.0,1.0,1.5,1.0,2.0
94,1.0,1.0,2.0,2.0,3.0
95,2.0,4.0,2.0,1.0,1.0
96,1.0,2.0,2.0,2.0,2.0
97,1.0,1.0,1.5,2.0,2.0
98,1.0,1.0,2.5,4.0,4.0
99,1.0,1.0,1.0,1.0,1.0
100,2.0,2.0,2.0,3.0,7.0
101,1.0,1.0,1.0,1.0,1.0
102,1.0,1.0,1.5,1.0,2.3
103,1.0,2.0,1.0,1.0,1.0
104,1.0,1.0,1.0,0.0,2.0
105,55.0,85.0,2.5,4.0,7.0
106,1.0,1.0,1.0,2.0,2.0
107,1.0,1.0,1.0,1.0,1.0
108,96.0,184.0,1.0,1.0,1.0
109,5.0,7.0,1.0,1.0,2.0
110,1.0,1.0,1.0,1.0,1.0
111,96.0,184.0,3.0,3.0,2.0
112,1.0,1.0,1.0,1.0,1.0
113,1.0,1.0,1.0,2.0,2.0
114,1.0,1.0,1.0,1.0,1.0
115,3.0,6.0,1.0,0.0,0.0
116,1.0,1.0,1.0,1.0,1.0
117,2.0,5.0,1.0,0.0,1.0
118,1.0,1.0,1.0,1.0,2.0
