,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,4.64,4.91,5.0,4.91,4.73,4.73,4.55,4.23
1,4.75,4.7,4.5,4.95,4.85,5.0,4.8,6.06
2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.77
3,4.0,4.5,4.0,4.5,4.5,4.5,4.5,2.0
4,4.33,4.33,4.17,5.0,4.5,4.83,4.17,0.04
5,4.86,5.0,4.86,5.0,5.0,5.0,4.86,0.1
6,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
7,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0
8,3.0,2.0,3.0,3.5,4.0,4.5,2.5,1.46
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.65
10,4.59,4.76,4.3,4.8,4.76,4.82,4.71,1.06
11,4.67,4.33,4.33,4.67,4.33,4.67,4.33,0.03
12,4.55,4.65,4.51,4.81,4.76,4.76,4.56,3.84
13,4.62,4.71,4.34,4.89,4.92,4.76,4.72,2.5
14,4.94,4.87,4.98,4.97,4.97,4.86,4.87,0.75
15,4.95,4.96,4.89,4.96,4.97,4.95,4.91,0.98
16,4.92,4.94,4.92,4.97,4.98,4.87,4.83,1.14
17,4.8,4.8,4.6,4.8,5.0,5.0,4.4,0.05
18,4.68,4.68,4.68,4.78,4.75,4.78,4.52,0.2
19,4.96,4.96,4.99,4.99,4.99,4.86,4.93,0.67
20,4.43,4.67,4.62,4.86,4.71,4.9,4.33,0.29
21,4.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0
22,4.94,4.96,4.97,4.99,4.98,4.92,4.92,2.06
23,4.67,4.75,4.74,4.81,4.82,4.77,4.56,1.19
24,4.9,4.91,4.95,4.95,4.95,4.77,4.95,0.14
25,4.8,4.78,4.63,4.89,4.93,4.91,4.64,0.5
26,5.0,4.85,4.92,5.0,5.0,4.92,4.92,0.21
27,4.0,3.8,3.6,5.0,5.0,4.2,3.6,0.04
28,4.78,4.83,4.81,4.95,4.93,4.88,4.78,0.63
29,4.8,4.88,4.6,4.9,4.92,4.83,4.62,0.44
30,4.86,4.92,4.54,4.92,4.85,4.92,4.75,0.1
31,4.75,5.0,4.92,5.0,5.0,4.75,4.5,0.09
32,4.8,4.68,4.68,4.79,4.68,4.68,4.53,0.16
33,4.86,4.8,4.84,4.86,4.92,4.88,4.8,10.24
34,4.84,4.88,4.85,4.94,4.92,4.89,4.9,0.66
35,4.56,4.76,4.36,4.88,4.86,4.86,4.71,0.39
36,4.73,4.87,4.3,4.77,4.9,4.97,4.7,0.29
37,4.77,4.68,4.78,4.78,4.9,4.75,4.58,0.26
38,4.77,4.85,4.86,4.88,4.96,4.78,4.77,1.81
39,4.91,4.91,4.85,4.89,5.0,4.89,4.81,0.33
40,4.41,4.48,4.31,4.73,4.77,4.57,4.28,0.67
41,4.88,4.9,4.95,4.95,5.0,4.97,4.88,0.61
42,4.75,4.6,4.44,5.0,4.89,4.89,4.56,0.06
43,4.87,4.87,4.73,4.85,4.9,4.59,4.75,0.79
44,4.79,4.89,4.81,4.91,4.91,4.83,4.8,2.47
45,4.67,4.8,4.33,4.87,4.67,4.8,4.87,0.17
46,4.81,4.72,4.67,4.91,4.88,4.88,4.6,0.37
47,4.69,4.56,4.3,4.85,4.81,4.78,4.56,0.2
48,4.92,4.92,4.92,5.0,5.0,5.0,4.83,0.14
49,4.98,4.92,4.98,4.98,4.87,4.96,4.81,0.39
50,4.85,4.74,4.88,4.84,4.88,4.8,4.82,0.39
51,4.94,4.94,4.87,4.97,4.97,5.0,4.83,0.94
52,4.89,4.93,4.79,5.0,5.0,4.82,4.64,0.23
53,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.02
54,4.67,4.33,4.33,4.67,4.67,4.67,4.33,0.02
55,4.82,4.84,4.64,4.89,4.9,4.96,4.6,3.34
56,4.84,4.82,4.74,4.95,5.0,4.61,4.61,0.28
57,4.46,4.63,4.29,4.76,4.79,4.73,4.47,0.55
58,4.83,5.0,4.67,5.0,4.92,4.92,4.83,0.08
59,4.65,4.67,4.63,4.74,4.74,4.89,4.63,0.19
60,5.0,4.93,4.71,4.86,5.0,5.0,4.86,0.09
61,4.93,4.97,4.81,4.99,4.99,4.85,4.94,1.37
62,4.51,4.53,4.7,4.89,4.83,4.74,4.39,1.23
63,4.63,4.61,4.66,4.87,4.77,4.79,4.46,1.26
64,4.71,4.69,4.38,4.85,4.85,4.77,4.54,0.11
65,4.74,4.89,4.59,4.89,4.96,4.89,4.63,0.2
66,4.92,4.97,4.92,4.89,4.97,4.95,4.84,0.61
67,4.94,4.94,4.94,4.94,4.94,4.88,4.71,0.13
68,4.82,4.86,4.91,4.97,4.97,4.82,4.76,1.13
69,4.57,4.51,4.36,4.74,4.7,4.87,4.4,0.33
70,4.77,4.86,4.84,4.92,4.94,4.62,4.69,1.78
71,4.73,4.83,4.76,4.94,4.88,4.74,4.69,1.72
72,4.69,4.69,4.75,4.86,4.84,4.74,4.69,1.44
73,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
